,registros,porcentaje_WA
Skagit / La Conner,97,0.05465496937631355
King / Ravensdale,95,0.053528062791234926
Yakima / Selah,94,0.05296460949869561
Snohomish / Woodway,93,0.05240115620615629
Thurston / Tenino,92,0.05183770291361698
Okanogan / Winthrop,91,0.05127424962107766
Pierce / Joint Base Lewis Mcchord,90,0.050710796328538345
Kitsap / Seabeck,88,0.049583889743459716
Whatcom / Everson,88,0.049583889743459716
Pierce / Parkland,82,0.046203169988223824
Mason / Allyn,80,0.045076263403145196
Pierce / Milton,78,0.04394935681806657
Grays Harbor / Montesano,77,0.04338590352552725
Cowlitz / Castle Rock,75,0.04225899694044862
Chelan / Cashmere,74,0.041695543647909304
Skamania / Washougal,74,0.041695543647909304
Kitsap / Hansville,73,0.041132090355369993
Island / Greenbank,73,0.041132090355369993
Chelan / Manson,70,0.03944173047775205
Kitsap / Suquamish,69,0.03887827718521273
King / Pacific,68,0.03831482389267342
Spokane / Mead,68,0.03831482389267342
Spokane / Medical Lake,67,0.0377513706001341
Stevens / Nine Mile Falls,66,0.037187917307594784
Grant / Ephrata,65,0.03662446401505547
Asotin / Clarkston,63,0.035497557429976845
Thurston / Rainier,62,0.03493410413743753
Kitsap / Indianola,61,0.03437065084489821
Yakima / Sunnyside,60,0.03380719755235889
Benton / Benton City,60,0.03380719755235889
Grays Harbor / Hoquiam,59,0.03324374425981958
Grays Harbor / Elma,59,0.03324374425981958
Benton / Prosser,58,0.03268029096728027
Spokane / Veradale,58,0.03268029096728027
Lewis / Winlock,57,0.03211683767474095
Stevens / Colville,56,0.031553384382201635
Mason / Grapeview,56,0.031553384382201635
Douglas / Orondo,56,0.031553384382201635
Snohomish / Gold Bar,55,0.03098993108966232
Walla Walla / College Place,55,0.03098993108966232
Clark / Yacolt,54,0.030426477797123007
Whatcom / Point Roberts,54,0.030426477797123007
Spokane / Deer Park,54,0.030426477797123007
King / Hunts Point,53,0.02986302450458369
Skamania / Stevenson,53,0.02986302450458369
Spokane / Nine Mile Falls,53,0.02986302450458369
King / Beaux Arts,52,0.02929957121204438
Wahkiakum / Cathlamet,50,0.028172664626965747
Mason / Hoodsport,50,0.028172664626965747
Jefferson / Quilcene,49,0.027609211334426433
Jefferson / Nordland,48,0.027045758041887115
Clark / Woodland,46,0.02591885145680849
Jefferson / Port Hadlock,45,0.025355398164269172
Mason / Union,45,0.025355398164269172
Okanogan / Twisp,45,0.025355398164269172
Spokane / Newman Lake,43,0.02422849157919054
Whatcom / Sedro Woolley,43,0.02422849157919054
Spokane / Otis Orchards,42,0.02366503828665123
Kittitas / Ronald,42,0.02366503828665123
Pacific / Long Beach,40,0.022538131701572598
Pend Oreille / Newport,39,0.021974678409033284
San Juan / Olga,39,0.021974678409033284
Whatcom / Lummi Island,38,0.021411225116493966
Pierce / Anderson Island,38,0.021411225116493966
King / Algona,36,0.020284318531415338
Lewis / Toledo,36,0.020284318531415338
Yakima / Zillah,35,0.019720865238876024
Spokane / Chattaroy,33,0.018593958653797392
Cowlitz / Silverlake,32,0.018030505361258078
Jefferson / Chimacum,32,0.018030505361258078
Pacific / Raymond,32,0.018030505361258078
King / Preston,32,0.018030505361258078
Pierce / Ruston,32,0.018030505361258078
Klickitat / Goldendale,31,0.017467052068718764
Lewis / Mossyrock,31,0.017467052068718764
Grays Harbor / Mccleary,31,0.017467052068718764
Whatcom / Deming,31,0.017467052068718764
Skamania / Underwood,30,0.016903598776179446
Skagit / Concrete,30,0.016903598776179446
Spokane / Airway Heights,29,0.016340145483640135
Whatcom / Maple Falls,29,0.016340145483640135
Yakima / Moxee,28,0.015776692191100818
Adams / Othello,28,0.015776692191100818
Pacific / Ocean Park,28,0.015776692191100818
Whatcom / Custer,28,0.015776692191100818
Clark / Amboy,26,0.01464978560602219
Grant / Mattawa,26,0.01464978560602219
Lewis / Onalaska,26,0.01464978560602219
Mason / Tahuya,26,0.01464978560602219
Grays Harbor / Westport,26,0.01464978560602219
Klickitat / Lyle,26,0.01464978560602219
Klickitat / Trout Lake,25,0.014086332313482873
Chelan / Malaga,25,0.014086332313482873
Pierce / Vaughn,25,0.014086332313482873
Grays Harbor / Pacific Beach,25,0.014086332313482873
Kittitas / Snoqualmie Pass,25,0.014086332313482873
Yakima / Naches,24,0.013522879020943557
Whitman / Colfax,24,0.013522879020943557
Yakima / Grandview,23,0.012959425728404245
Spokane / Elk,23,0.012959425728404245
Chelan / Entiat,23,0.012959425728404245
Okanogan / Mazama,23,0.012959425728404245
Jefferson / Brinnon,22,0.012395972435864929
Grant / Royal City,22,0.012395972435864929
Kittitas / Easton,22,0.012395972435864929
Kittitas / Roslyn,22,0.012395972435864929
Chelan / Peshastin,22,0.012395972435864929
Whitman / Palouse,21,0.011832519143325615
Pacific / Surfside,21,0.011832519143325615
Okanogan / Omak,20,0.011269065850786299
Stevens / Kettle Falls,19,0.010705612558246983
Cowlitz / Ariel,19,0.010705612558246983
King / Milton,19,0.010705612558246983
Okanogan / Oroville,19,0.010705612558246983
Grant / Soap Lake,19,0.010705612558246983
Grays Harbor / Oakville,19,0.010705612558246983
Pierce / Longbranch,19,0.010705612558246983
Skamania / Carson,18,0.010142159265707669
Spokane / Valleyford,18,0.010142159265707669
Okanogan / Tonasket,18,0.010142159265707669
Stevens / Chewelah,17,0.009578705973168355
Klickitat / Husum,17,0.009578705973168355
